activity_id,outer_fold,observed,prediction,abs_error,max_train_similarity
14769802,1,0.4771212547196624,1.446169426646312,0.9690481719266497,0.2982456140350877
14765547,4,2.140004950619449,1.1715854457974704,0.9684195048219788,0.3191489361702128
14769813,0,0.4771212547196624,1.4294586889163965,0.9523374341967341,0.6290322580645161
14765534,2,2.120014252078067,1.197443008310335,0.9225712437677323,0.26136363636363635
14765563,3,2.164352855784437,1.2422613446073745,0.9220915111770627,0.3116883116883117
14765529,0,2.109983294819892,1.207796317458866,0.9021869773610263,0.23958333333333334
14765492,2,2.0600175425316003,1.1733799994106773,0.886637543120923,0.19540229885057472
14765452,0,2.012837224705172,1.1286000174542687,0.8842372072509033,0.527027027027027
14765562,2,2.161368002234975,1.2781839557236898,0.883184046511285,0.8028169014084507
14765483,0,2.049218022670181,1.1737030975884268,0.8755149250817542,0.28888888888888886
14765521,2,2.0999912335446846,1.2294998062890063,0.8704914272556783,0.31746031746031744
14769803,0,0.4771212547196624,1.3444810441919626,0.8673597894723002,0.6774193548387096
14769805,1,0.4771212547196624,1.3380498130678946,0.8609285583482322,0.3880597014925373
14765493,1,2.0600175425316003,1.202441462247681,0.8575760802839194,0.7164179104477612
14765561,3,2.159988050381987,1.304600489115458,0.8553875612665289,0.32098765432098764
14765535,4,2.120014252078067,1.2656996927880424,0.8543145592900248,0.28
14758956,1,0.5910646070264992,1.4453521872433517,0.8542875802168525,0.6307692307692307
14765486,3,2.0499928569201424,1.200917080324454,0.8490757765956884,0.7213114754098361
14765515,2,2.090011024007147,1.241335850925482,0.8486751730816651,0.30357142857142855
14765499,3,2.070000903802345,1.2254945350972988,0.844506368705046,0.23076923076923078
