activity_id,outer_fold,observed,prediction,abs_error,max_train_similarity
14765380,3,1.9138138523837167,0.8218172749232358,1.091996577460481,0.3684210526315789
14765503,0,2.0755469613925306,1.042593476582114,1.0329534848104165,0.27906976744186046
14769805,1,0.4771212547196624,1.494907229694479,1.0177859749748166,0.3880597014925373
14765495,4,2.0644579892269186,1.0483858376164237,1.016072151610495,0.48936170212765956
14769812,0,0.4771212547196624,1.4670825826762677,0.9899613279566053,0.3333333333333333
14765563,3,2.164352855784437,1.2283693557070177,0.9359835000774195,0.3116883116883117
14765446,1,2.004321373782642,1.0982420706996383,0.9060793030830039,0.5125
14769804,0,0.4771212547196624,1.3798196202042936,0.9026983654846312,0.4915254237288136
14765564,2,2.164352855784437,1.2625007262623702,0.901852129522067,0.34782608695652173
14769809,1,0.4771212547196624,1.369881713780302,0.8927604590606397,0.28
14765508,3,2.080012847107928,1.194758372301827,0.8852544748061013,0.25862068965517243
14765536,0,2.127104798364808,1.2494331903306384,0.8776716080341698,0.4067796610169492
14765535,4,2.120014252078067,1.24397614259041,0.8760381094876573,0.28
14765468,0,2.0293837776852097,1.1554006991813652,0.8739830785038445,0.5697674418604651
14765473,4,2.029992175377848,1.156718972248998,0.8732732031288499,0.30434782608695654
14765534,2,2.120014252078067,1.2482664113630209,0.8717478407150463,0.26136363636363635
14765524,2,2.106190897263416,1.2361337858726502,0.8700571113907656,0.25316455696202533
14765499,3,2.070000903802345,1.2200837564329752,0.8499171473693696,0.23076923076923078
14758976,2,0.6020599913279624,1.4390187766002287,0.8369587852722663,0.23595505617977527
14758998,4,0.6201360549737575,1.453540255294922,0.8334042003211645,0.3269230769230769
