action_type,activity_comment,activity_id,activity_properties,assay_cell_type,assay_chembl_id,assay_description,assay_organism,assay_strain,assay_subcellular_fraction,assay_tax_id,assay_tissue,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,canonical_smiles_rdkit,cell_chembl_id,clogp,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,dummy_atom_count,fraction_csp3,fragment_count,hba,hbd,ligand_efficiency,measurement_audit,modality,molecular_weight,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,raw_filename,raw_identifier,raw_smiles,raw_target,record_id,relation,rotatable_bonds,source,source_row_1based,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,structure_error,structure_status,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,tissue_chembl_id,toid,tpsa,type,undefined_stereo_elements,units,uo_units,upper_value,value
,,14758925,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,COc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,COc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,CHEMBL3308022,2.629460000000001,,,CHEMBL3301361,,,0,0.3333333333333333,1,6,1,,"{""number"": ""3.09"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,339.399,CHEMBL1539037,,CHEMBL1539037,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL1539037,COc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,3.09,2131845,,5,CHEMBL3301371,1,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.09,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,81.41,CLint,0,microL/min/1E6 cells,,,3.09
,,14758926,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,CHEMBL3308022,5.5408000000000035,,,CHEMBL3301361,,,0,0.17857142857142858,1,6,2,,"{""number"": ""3.16"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,501.51400000000024,CHEMBL2105717,CABOZANTINIB,CHEMBL2105717,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL2105717,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,3.16,2131532,,8,CHEMBL3301371,2,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.16,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,98.78000000000002,CLint,0,microL/min/1E6 cells,,,3.16
,,14758928,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CHEMBL3308022,1.8468000000000002,,,CHEMBL3301361,,,0,0.34782608695652173,1,8,2,,"{""number"": ""3.24"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,421.4530000000002,CHEMBL84,TOPOTECAN,CHEMBL84,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,3.24,2132586,,3,CHEMBL3301371,3,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.24,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,104.89,CLint,0,microL/min/1E6 cells,,,3.24
,,14758931,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,O=C(NS(=O)(=O)c1ccccc1Cl)c1ccc[nH]1,O=C(NS(=O)(=O)c1ccccc1Cl)c1ccc[nH]1,CHEMBL3308022,1.7868,,,CHEMBL3301361,,,0,0.0,1,3,2,,"{""number"": ""3.31"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,284.724,CHEMBL1519272,,CHEMBL1519272,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL1519272,O=C(NS(=O)(=O)c1ccccc1Cl)c1ccc[nH]1,3.31,2130769,,3,CHEMBL3301371,4,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.31,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,79.03,CLint,0,microL/min/1E6 cells,,,3.31
,,14758936,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,CHEMBL3308022,4.162540000000002,,,CHEMBL3301361,,,0,0.21739130434782608,1,7,1,,"{""number"": ""3.39"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,415.45300000000015,CHEMBL2017291,,CHEMBL2017291,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL2017291,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,3.39,2131823,,4,CHEMBL3301371,5,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.39,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,98.83,CLint,0,microL/min/1E6 cells,,,3.39
,,14758937,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,Cc1cn([C@H]2CCCN([C@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,Cc1cn([C@H]2CCCN([C@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,CHEMBL3308022,4.387020000000003,,,CHEMBL3301361,,,0,0.32,1,6,2,,"{""number"": ""3.39"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,483.9520000000002,CHEMBL2179269,,CHEMBL2179269,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL2179269,Cc1cn([C@H]2CCCN([C@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,3.39,2130836,,6,CHEMBL3301371,6,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.39,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,104.63,CLint,0,microL/min/1E6 cells,,,3.39
,,14758938,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL3308022,0.4864999999999999,,,CHEMBL3301361,,,0,0.4117647058823529,1,5,3,,"{""number"": ""3.39"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,378.4060000000001,CHEMBL1214,CARBENICILLIN,CHEMBL1214,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL1214,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,3.39,2132633,,5,CHEMBL3301371,7,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.39,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,124.01,CLint,1,microL/min/1E6 cells,,,3.39
,,14758946,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,COc1ccc(Cc2c(N)n[nH]c2N)cc1,COc1ccc(Cc2c(N)n[nH]c2N)cc1,CHEMBL3308022,1.1734999999999998,,,CHEMBL3301361,,,0,0.18181818181818182,1,4,3,,"{""number"": ""3.63"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,218.26,CHEMBL284275,,CHEMBL284275,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL284275,COc1ccc(Cc2c(N)n[nH]c2N)cc1,3.63,2130699,,3,CHEMBL3301371,8,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.63,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,89.95,CLint,0,microL/min/1E6 cells,,,3.63
,,14758951,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,Cc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,Cc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,CHEMBL3308022,5.145720000000005,,,CHEMBL3301361,,,0,0.4166666666666667,1,4,0,,"{""number"": ""3.8"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,409.96100000000024,CHEMBL244936,,CHEMBL244936,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL244936,Cc1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,3.8,2129422,,4,CHEMBL3301371,9,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.8,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,38.13,CLint,0,microL/min/1E6 cells,,,3.8
,,14758954,[],Hepatocyte,CHEMBL3301371,"ASTRAZENECA: Intrinsic clearance measured in rat hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736",Rattus norvegicus,"CD1, BC, CD1, NMRI, SCID, or Nd",,10116,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,Cc1cc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,Cc1cc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,CHEMBL3308022,5.038620000000004,,,CHEMBL3301361,,,0,0.5185185185185185,1,4,1,,"{""number"": ""3.87"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,489.0310000000003,CHEMBL2158782,,CHEMBL2158782,,0,,data/raw/chembl/CHEMBL3301371_activities_00000.json,CHEMBL2158782,Cc1cc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,3.87,2127476,,8,CHEMBL3301371,10,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.87,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,53.010000000000005,CLint,0,microL/min/1E6 cells,,,3.87
