action_type,activity_comment,activity_id,activity_properties,assay_cell_type,assay_chembl_id,assay_description,assay_organism,assay_strain,assay_subcellular_fraction,assay_tax_id,assay_tissue,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,canonical_smiles_rdkit,cell_chembl_id,clogp,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,dummy_atom_count,fraction_csp3,fragment_count,hba,hbd,ligand_efficiency,measurement_audit,modality,molecular_weight,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,raw_filename,raw_identifier,raw_smiles,raw_target,record_id,relation,rotatable_bonds,source,source_row_1based,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,structure_error,structure_status,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,tissue_chembl_id,toid,tpsa,type,undefined_stereo_elements,units,uo_units,upper_value,value
,,14758927,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,CHEMBL3308043,2.9092000000000002,,,CHEMBL3301361,,,0,0.21428571428571427,1,4,1,,"{""number"": ""3.2"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,333.189,CHEMBL1800526,,CHEMBL1800526,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL1800526,COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,3.2,2132901,,4,CHEMBL3301372,1,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.2,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,63.690000000000005,CLint,0,microL/min/1E6 cells,,,3.2
,,14758929,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,CHEMBL3308043,4.162540000000002,,,CHEMBL3301361,,,0,0.21739130434782608,1,7,1,,"{""number"": ""3.24"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,415.45300000000015,CHEMBL2017291,,CHEMBL2017291,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL2017291,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,3.24,2131823,,4,CHEMBL3301372,2,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.24,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,98.83,CLint,0,microL/min/1E6 cells,,,3.24
,,14758930,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,CHEMBL3308043,2.22952,,,CHEMBL3301361,,,0,0.38461538461538464,1,9,3,,"{""number"": ""3.3"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,369.49700000000007,CHEMBL402728,,CHEMBL402728,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL402728,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,3.3,2131988,,6,CHEMBL3301372,3,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.3,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,103.79,CLint,0,microL/min/1E6 cells,,,3.3
,,14758932,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,CHEMBL3308043,4.550800000000003,,,CHEMBL3301361,,,0,0.24,1,8,2,,"{""number"": ""3.31"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,494.9830000000003,CHEMBL1229592,,CHEMBL1229592,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL1229592,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3.31,2130961,,8,CHEMBL3301372,4,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.31,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,91.85,CLint,0,microL/min/1E6 cells,,,3.31
,,14758933,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,CHEMBL3308043,2.5051000000000014,,,CHEMBL3301361,,,0,0.5294117647058824,1,3,3,,"{""number"": ""3.31"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,387.31100000000015,CHEMBL2337977,,CHEMBL2337977,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL2337977,CC(C)(C)NC(=O)NCCN1CC(NC(=O)c2cc(Cl)cc(Cl)c2)C1,3.31,2131028,,5,CHEMBL3301372,5,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.31,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,73.47,CLint,0,microL/min/1E6 cells,,,3.31
,,14758934,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,Cn1cnc2c(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)ccc21,Cn1cnc2c(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)ccc21,CHEMBL3308043,5.245200000000004,,,CHEMBL3301361,,,0,0.20833333333333334,1,3,1,,"{""number"": ""3.31"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,353.469,CHEMBL2035037,,CHEMBL2035037,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL2035037,Cn1cnc2c(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)ccc21,3.31,2131295,,3,CHEMBL3301372,6,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.31,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,43.84,CLint,0,microL/min/1E6 cells,,,3.31
,,14758939,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,CHEMBL3308043,0.8484000000000012,,,CHEMBL3301361,,,0,0.4090909090909091,1,9,3,,"{""number"": ""3.39"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,516.5840000000004,CHEMBL2057372,,CHEMBL2057372,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL2057372,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,3.39,2131352,,6,CHEMBL3301372,7,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.39,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,159.92,CLint,0,microL/min/1E6 cells,,,3.39
,,14758940,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12,CHEMBL3308043,3.834900000000003,,,CHEMBL3301361,,,0,0.5454545454545454,1,4,2,,"{""number"": ""3.4"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,367.49300000000017,CHEMBL552512,,CHEMBL552512,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL552512,O=C(CC1CCCCCC1)Nc1cccc2c(=O)n([C@H]3CCNC3)ccc12,3.4,2129520,,4,CHEMBL3301372,8,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.4,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,63.13,CLint,0,microL/min/1E6 cells,,,3.4
,,14758941,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL3308043,1.4230200000000002,,,CHEMBL3301361,,,0,0.25,1,4,1,,"{""number"": ""3.46"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,232.23899999999998,CHEMBL5,NALIDIXIC ACID,CHEMBL5,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,3.46,2128265,,2,CHEMBL3301372,9,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.46,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,72.19,CLint,0,microL/min/1E6 cells,,,3.46
,,14758942,[],Hepatocyte,CHEMBL3301372,"ASTRAZENECA: Intrinsic clearance measured in human hepatocytes following incubation at 37C. Experimental range <3 to >150 microL/min/1E6 cells. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,,9606,Liver,A,,,BAO_0002759,BAO_0000219,cell-based format,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,CHEMBL3308043,1.55042,,,CHEMBL3301361,,,0,0.3076923076923077,1,4,0,,"{""number"": ""3.47"", ""relation"": ""UNKNOWN"", ""status"": ""UNKNOWN_RELATION""}",,231.29900000000004,CHEMBL288470,AMINOPYRINE,CHEMBL288470,,0,,data/raw/chembl/CHEMBL3301372_activities_00000.json,CHEMBL288470,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.47,2128685,,2,CHEMBL3301372,10,27,1,,,CL,uL.min-1.(10^6cells)-1,,3.47,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,30.17,CLint,0,microL/min/1E6 cells,,,3.47
